"","year","event_class","total"
"1","1950","tornado",34481650
"2","1951","tornado",65505990
"3","1952","tornado",94102240
"4","1953","tornado",596104700
"5","1954","tornado",85805320
"6","1955","landstorm",0
"7","1955","tornado",82660630
"8","1955","water",0
"9","1956","landstorm",0
"10","1956","tornado",116912350
"11","1956","water",0
"12","1957","landstorm",0
"13","1957","tornado",224388890
"14","1957","water",0
"15","1958","landstorm",0
"16","1958","tornado",128994610
"17","1958","water",0
"18","1959","landstorm",0
"19","1959","tornado",87453040
"20","1959","water",0
"21","1960","landstorm",0
"22","1960","tornado",118224240
"23","1960","water",0
"24","1961","landstorm",0
"25","1961","tornado",179388730
"26","1961","water",0
"27","1962","landstorm",0
"28","1962","tornado",67200730
"29","1962","water",0
"30","1963","landstorm",0
"31","1963","tornado",87230580
"32","1963","water",0
"33","1964","landstorm",0
"34","1964","tornado",165990820
"35","1964","water",0
"36","1965","landstorm",0
"37","1965","tornado",1762499040
"38","1965","water",0
"39","1966","landstorm",0
"40","1966","tornado",476629360
"41","1966","water",0
"42","1967","landstorm",0
"43","1967","tornado",577019220
"44","1967","water",0
"45","1968","landstorm",0
"46","1968","tornado",210079910
"47","1968","water",0
"48","1969","landstorm",0
"49","1969","tornado",113274230
"50","1969","water",0
"51","1970","landstorm",0
"52","1970","tornado",625205980
"53","1970","water",0
"54","1971","landstorm",0
"55","1971","tornado",202120550
"56","1971","water",0
"57","1972","landstorm",0
"58","1972","tornado",151172570
"59","1972","water",0
"60","1973","landstorm",0
"61","1973","tornado",2063066560
"62","1973","water",0
"63","1974","landstorm",0
"64","1974","tornado",1943517780
"65","1974","water",0
"66","1975","landstorm",0
"67","1975","tornado",826723790
"68","1975","water",0
"69","1976","landstorm",0
"70","1976","tornado",308497190
"71","1976","water",0
"72","1977","landstorm",0
"73","1977","tornado",342024230
"74","1977","water",0
"75","1978","landstorm",0
"76","1978","tornado",616068160
"77","1978","water",0
"78","1979","landstorm",0
"79","1979","tornado",946241240
"80","1979","water",0
"81","1980","landstorm",0
"82","1980","tornado",2152814350
"83","1980","water",0
"84","1981","landstorm",0
"85","1981","tornado",765888310
"86","1981","water",0
"87","1982","landstorm",0
"88","1982","tornado",1429218000
"89","1982","water",0
"90","1983","landstorm",0
"91","1983","tornado",765855590
"92","1983","water",0
"93","1984","landstorm",0
"94","1984","tornado",2131171390
"95","1984","water",0
"96","1985","landstorm",0
"97","1985","tornado",1608097210
"98","1985","water",0
"99","1986","landstorm",0
"100","1986","tornado",1034912340
"101","1986","water",0
"102","1987","landstorm",0
"103","1987","tornado",407837950
"104","1987","water",0
"105","1988","landstorm",0
"106","1988","tornado",1124214650
"107","1988","water",0
"108","1989","landstorm",0
"109","1989","tornado",1760051050
"110","1989","water",0
"111","1990","landstorm",0
"112","1990","tornado",1560568070
"113","1990","water",0
"114","1991","landstorm",0
"115","1991","tornado",1152296430
"116","1991","water",0
"117","1992","landstorm",0
"118","1992","tornado",1406688900
"119","1992","water",0
"120","1993","cold",455473050
"121","1993","fire",6.19e+08
"122","1993","heat",655567200
"123","1993","land",2e+05
"124","1993","landstorm",7383535964
"125","1993","other",242266000
"126","1993","tornado",771772503
"127","1993","visibility",605000
"128","1993","water",11795773552
"129","1993","waterstorm",5.6e+07
"130","1993","wind",6386000
"131","1994","cold",5396246600
"132","1994","fire",117636000
"133","1994","heat",68208650
"134","1994","land",601000
"135","1994","landstorm",966960808
"136","1994","other",1985050
"137","1994","tornado",764990150
"138","1994","visibility",750000
"139","1994","water",2211114416
"140","1994","waterstorm",50500000
"141","1994","wind",5631000
"142","1995","cold",636445360
"143","1995","fire",569500
"144","1995","heat",1198445583
"145","1995","land",23000
"146","1995","landstorm",2462890366
"147","1995","other",68294000
"148","1995","tornado",326725750
"149","1995","visibility",1010000
"150","1995","water",4449212366.41
"151","1995","waterstorm",3586956000
"152","1995","wind",2517000
"153","1996","cold",400563100
"154","1996","fire",76975000
"155","1996","heat",861231310
"156","1996","land",0
"157","1996","landstorm",579013890
"158","1996","other",347451800
"159","1996","tornado",732393750
"160","1996","visibility",1045000
"161","1996","water",3244494340
"162","1996","waterstorm",1732035000
"163","1996","wind",143000
"164","1997","cold",638133360
"165","1997","fire",43115000
"166","1997","heat",319872110
"167","1997","land",5100
"168","1997","landstorm",542967610
"169","1997","other",367553900
"170","1997","tornado",736532450
"171","1997","visibility",1729000
"172","1997","water",7466200820
"173","1997","waterstorm",669055000
"174","1997","wind",975290
"175","1998","cold",1170019840
"176","1998","fire",481474000
"177","1998","heat",2264349500
"178","1998","land",35946000
"179","1998","landstorm",2083766590
"180","1998","other",2329950
"181","1998","tornado",1738645600
"182","1998","visibility",2384500
"183","1998","water",4610931900
"184","1998","waterstorm",3720342000
"185","1998","wind",1291100
"186","1999","cold",196938000
"187","1999","fire",142629200
"188","1999","heat",1427684820
"189","1999","land",0
"190","1999","landstorm",510612870
"191","1999","other",3645500
"192","1999","tornado",1998432950
"193","1999","visibility",913000
"194","1999","water",2430983910
"195","1999","waterstorm",5541066000
"196","1999","wind",604400
"197","2000","cold",1020529020
"198","2000","fire",2116312200
"199","2000","heat",2487270940
"200","2000","land",5e+05
"201","2000","landstorm",365145980
"202","2000","other",6043500
"203","2000","tornado",430892100
"204","2000","visibility",1816000
"205","2000","water",2513990910
"206","2000","waterstorm",6321000
"207","2000","wind",1777000
"208","2001","cold",207986000
"209","2001","fire",45172800
"210","2001","heat",1341709570
"211","2001","land",1825000
"212","2001","landstorm",5635034260
"213","2001","other",8568500
"214","2001","tornado",637698900
"215","2001","visibility",1283000
"216","2001","water",3961717740
"217","2001","waterstorm",1100000
"218","2001","wind",1676000
"219","2002","cold",782920400
"220","2002","fire",202833630
"221","2002","heat",853409900
"222","2002","land",0
"223","2002","landstorm",633294050
"224","2002","other",240300
"225","2002","tornado",802137210
"226","2002","visibility",3975000
"227","2002","water",1219396090
"228","2002","waterstorm",1012255010
"229","2002","wind",789000
"230","2003","cold",355185080
"231","2003","fire",2362777830
"232","2003","heat",1424427520
"233","2003","land",5591000
"234","2003","landstorm",1459283870
"235","2003","other",62265000
"236","2003","tornado",1281558270
"237","2003","visibility",1675000
"238","2003","water",3401561420
"239","2003","waterstorm",1017140000
"240","2003","wind",26153600
"241","2004","cold",74689400
"242","2004","fire",17232700
"243","2004","heat",3518327850
"244","2004","land",32289000
"245","2004","landstorm",962786950
"246","2004","other",250800
"247","2004","tornado",548718950
"248","2004","visibility",1590000
"249","2004","water",2585141130
"250","2004","waterstorm",18922255800
"251","2004","wind",135494140
"252","2005","cold",307954500
"253","2005","fire",40877400
"254","2005","heat",1458475500
"255","2005","land",91515000
"256","2005","landstorm",43918694700
"257","2005","other",15870800
"258","2005","tornado",503953400
"259","2005","visibility",642000
"260","2005","water",2672830520
"261","2005","waterstorm",51799317000
"262","2005","wind",14862650
"263","2006","cold",67634250
"264","2006","fire",411797400
"265","2006","heat",3129319600
"266","2006","land",78889500
"267","2006","landstorm",632142560
"268","2006","other",4722000
"269","2006","tornado",758960000
"270","2006","visibility",650000
"271","2006","water",120360534580
"272","2006","waterstorm",9203000
"273","2006","wind",17820000
"274","2007","cold",862587000
"275","2007","fire",1020603700
"276","2007","heat",579776500
"277","2007","land",50952500
"278","2007","landstorm",517816250
"279","2007","other",279000
"280","2007","tornado",1408022650
"281","2007","visibility",540000
