"","year","event_class","total"
"1","1950","tornado",70
"2","1951","tornado",34
"3","1952","tornado",230
"4","1953","tornado",519
"5","1954","tornado",36
"6","1955","landstorm",0
"7","1955","tornado",129
"8","1955","water",0
"9","1956","landstorm",0
"10","1956","tornado",83
"11","1956","water",0
"12","1957","landstorm",0
"13","1957","tornado",193
"14","1957","water",0
"15","1958","landstorm",0
"16","1958","tornado",67
"17","1958","water",0
"18","1959","landstorm",0
"19","1959","tornado",58
"20","1959","water",0
"21","1960","landstorm",0
"22","1960","tornado",46
"23","1960","water",0
"24","1961","landstorm",0
"25","1961","tornado",52
"26","1961","water",0
"27","1962","landstorm",0
"28","1962","tornado",30
"29","1962","water",0
"30","1963","landstorm",0
"31","1963","tornado",31
"32","1963","water",0
"33","1964","landstorm",0
"34","1964","tornado",73
"35","1964","water",0
"36","1965","landstorm",0
"37","1965","tornado",301
"38","1965","water",0
"39","1966","landstorm",0
"40","1966","tornado",98
"41","1966","water",0
"42","1967","landstorm",0
"43","1967","tornado",114
"44","1967","water",0
"45","1968","landstorm",0
"46","1968","tornado",131
"47","1968","water",0
"48","1969","landstorm",0
"49","1969","tornado",66
"50","1969","water",0
"51","1970","landstorm",0
"52","1970","tornado",73
"53","1970","water",0
"54","1971","landstorm",0
"55","1971","tornado",159
"56","1971","water",0
"57","1972","landstorm",0
"58","1972","tornado",27
"59","1972","water",0
"60","1973","landstorm",0
"61","1973","tornado",89
"62","1973","water",0
"63","1974","landstorm",0
"64","1974","tornado",366
"65","1974","water",0
"66","1975","landstorm",0
"67","1975","tornado",60
"68","1975","water",0
"69","1976","landstorm",0
"70","1976","tornado",44
"71","1976","water",0
"72","1977","landstorm",0
"73","1977","tornado",43
"74","1977","water",0
"75","1978","landstorm",0
"76","1978","tornado",53
"77","1978","water",0
"78","1979","landstorm",0
"79","1979","tornado",84
"80","1979","water",0
"81","1980","landstorm",0
"82","1980","tornado",28
"83","1980","water",0
"84","1981","landstorm",0
"85","1981","tornado",24
"86","1981","water",0
"87","1982","landstorm",0
"88","1982","tornado",64
"89","1982","water",0
"90","1983","landstorm",3
"91","1983","tornado",34
"92","1983","water",0
"93","1984","landstorm",38
"94","1984","tornado",122
"95","1984","water",0
"96","1985","landstorm",18
"97","1985","tornado",94
"98","1985","water",0
"99","1986","landstorm",36
"100","1986","tornado",15
"101","1986","water",0
"102","1987","landstorm",30
