"","year","event_class","total"
"1","1950","tornado",659
"2","1951","tornado",524
"3","1952","tornado",1915
"4","1953","tornado",5131
"5","1954","tornado",715
"6","1955","landstorm",0
"7","1955","tornado",926
"8","1955","water",0
"9","1956","landstorm",0
"10","1956","tornado",1355
"11","1956","water",0
"12","1957","landstorm",0
"13","1957","tornado",1976
"14","1957","water",0
"15","1958","landstorm",0
"16","1958","tornado",535
"17","1958","water",0
"18","1959","landstorm",0
"19","1959","tornado",734
"20","1959","water",0
"21","1960","landstorm",0
"22","1960","tornado",737
"23","1960","water",0
"24","1961","landstorm",0
"25","1961","tornado",1087
"26","1961","water",0
"27","1962","landstorm",0
"28","1962","tornado",551
"29","1962","water",0
"30","1963","landstorm",0
"31","1963","tornado",538
"32","1963","water",0
"33","1964","landstorm",0
"34","1964","tornado",1148
"35","1964","water",0
"36","1965","landstorm",0
"37","1965","tornado",5197
"38","1965","water",0
"39","1966","landstorm",0
"40","1966","tornado",2030
"41","1966","water",0
"42","1967","landstorm",0
"43","1967","tornado",2144
"44","1967","water",0
"45","1968","landstorm",0
"46","1968","tornado",2522
"47","1968","water",0
"48","1969","landstorm",0
"49","1969","tornado",1311
"50","1969","water",0
"51","1970","landstorm",0
"52","1970","tornado",1355
"53","1970","water",0
"54","1971","landstorm",0
"55","1971","tornado",2723
"56","1971","water",0
"57","1972","landstorm",0
"58","1972","tornado",976
"59","1972","water",0
"60","1973","landstorm",0
"61","1973","tornado",2406
"62","1973","water",0
"63","1974","landstorm",0
"64","1974","tornado",6824
"65","1974","water",0
"66","1975","landstorm",0
"67","1975","tornado",1457
"68","1975","water",0
"69","1976","landstorm",0
"70","1976","tornado",1195
"71","1976","water",0
"72","1977","landstorm",0
"73","1977","tornado",771
"74","1977","water",0
"75","1978","landstorm",0
"76","1978","tornado",919
"77","1978","water",0
"78","1979","landstorm",0
"79","1979","tornado",3014
"80","1979","water",0
"81","1980","landstorm",0
"82","1980","tornado",1157
"83","1980","water",0
"84","1981","landstorm",0
"85","1981","tornado",798
"86","1981","water",0
"87","1982","landstorm",0
"88","1982","tornado",1276
"89","1982","water",0
"90","1983","landstorm",60
"91","1983","tornado",756
"92","1983","water",0
"93","1984","landstorm",283
"94","1984","tornado",2499
"95","1984","water",76
"96","1985","landstorm",196
"97","1985","tornado",1299
"98","1985","water",18
"99","1986","landstorm",309
"100","1986","tornado",536
"101","1986","water",70
"102","1987","landstorm",371
"103","1987","tornado",1018
"104","1987","water",27
"105","1988","landstorm",334
"106","1988","tornado",688
"107","1988","water",8
"108","1989","landstorm",382
"109","1989","tornado",1270
"110","1989","water",23
"111","1990","landstorm",581
"112","1990","tornado",1177
"113","1990","water",67
"114","1991","landstorm",487
"115","1991","tornado",864
"116","1991","water",4
"117","1992","landstorm",323
"118","1992","tornado",1323
"119","1992","water",108
"120","1993","cold",138
"121","1993","fire",150
"122","1993","heat",191
"123","1993","land",0
"124","1993","landstorm",350
"125","1993","other",416
"126","1993","tornado",739
"127","1993","visibility",13
"128","1993","water",149
"129","1993","waterstorm",1
"130","1993","wind",2
"131","1994","cold",2122
"132","1994","fire",0
"133","1994","heat",175
"134","1994","land",0
"135","1994","landstorm",885
"136","1994","other",12
"137","1994","tornado",808
"138","1994","visibility",70
"139","1994","water",85
"140","1994","waterstorm",0
"141","1994","wind",4
"142","1995","cold",169
"143","1995","fire",0
"144","1995","heat",1219
"145","1995","land",0
"146","1995","landstorm",1080
"147","1995","other",70
"148","1995","tornado",1119
"149","1995","visibility",139
"150","1995","water",682
"151","1995","waterstorm",2
"152","1995","wind",0
"153","1996","cold",282
"154","1996","fire",33
"155","1996","heat",172
"156","1996","land",0
"157","1996","landstorm",932
"158","1996","other",262
"159","1996","tornado",705
"160","1996","visibility",42
"161","1996","water",270
"162","1996","waterstorm",17
"163","1996","wind",2
"164","1997","cold",235
"165","1997","fire",7
"166","1997","heat",623
"167","1997","land",1
"168","1997","landstorm",995
"169","1997","other",194
"170","1997","tornado",1034
"171","1997","visibility",103
"172","1997","water",568
"173","1997","waterstorm",5
"174","1997","wind",35
"175","1998","cold",129
"176","1998","fire",92
"177","1998","heat",717
"178","1998","land",5
"179","1998","landstorm",1383
"180","1998","other",252
"181","1998","tornado",1880
"182","1998","visibility",152
"183","1998","water",6541
"184","1998","waterstorm",9
"185","1998","wind",17
"186","1999","cold",170
"187","1999","fire",127
"188","1999","heat",1590
"189","1999","land",0
"190","1999","landstorm",871
"191","1999","other",26
"192","1999","tornado",1842
"193","1999","visibility",84
"194","1999","water",411
"195","1999","waterstorm",4
"196","1999","wind",23
"197","2000","cold",67
"198","2000","fire",100
"199","2000","heat",588
"200","2000","land",0
"201","2000","landstorm",799
"202","2000","other",6
"203","2000","tornado",895
"204","2000","visibility",118
"205","2000","water",188
"206","2000","waterstorm",0
"207","2000","wind",42
"208","2001","cold",92
"209","2001","fire",48
"210","2001","heat",519
"211","2001","land",0
"212","2001","landstorm",804
"213","2001","other",27
"214","2001","tornado",743
"215","2001","visibility",67
"216","2001","water",394
"217","2001","waterstorm",0
"218","2001","wind",27
"219","2002","cold",87
"220","2002","fire",138
"221","2002","heat",486
"222","2002","land",0
"223","2002","landstorm",685
"224","2002","other",15
"225","2002","tornado",974
"226","2002","visibility",146
"227","2002","water",281
"228","2002","waterstorm",319
"229","2002","wind",24
"230","2003","cold",70
"231","2003","fire",251
"232","2003","heat",309
"233","2003","land",16
"234","2003","landstorm",838
"235","2003","other",29
"236","2003","tornado",1087
"237","2003","visibility",43
"238","2003","water",257
"239","2003","waterstorm",2
"240","2003","wind",29
"241","2004","cold",172
"242","2004","fire",63
"243","2004","heat",152
"244","2004","land",11
"245","2004","landstorm",550
"246","2004","other",32
"247","2004","tornado",396
"248","2004","visibility",45
"249","2004","water",147
"250","2004","waterstorm",839
"251","2004","wind",19
"252","2005","cold",52
"253","2005","fire",82
"254","2005","heat",323
"255","2005","land",11
"256","2005","landstorm",557
"257","2005","other",11
"258","2005","tornado",537
"259","2005","visibility",12
"260","2005","water",102
"261","2005","waterstorm",118
"262","2005","wind",29
"263","2006","cold",29
"264","2006","fire",92
"265","2006","heat",1583
"266","2006","land",2
"267","2006","landstorm",529
"268","2006","other",25
"269","2006","tornado",992
"270","2006","visibility",40
"271","2006","water",51
"272","2006","waterstorm",0
"273","2006","wind",25
"274","2007","cold",165
"275","2007","fire",185
"276","2007","heat",594
"277","2007","land",3
"278","2007","landstorm",406
"279","2007","other",14
"280","2007","tornado",659
"281","2007","visibility",3
"282","2007","water",119
"283","2007","waterstorm",12
"284","2007","wind",31
"285","2008","cold",95
"286","2008","fire",32
"287","2008","heat",253
"288","2008","land",0
"289","2008","landstorm",483
"290","2008","other",35
"291","2008","tornado",1690
"292","2008","visibility",0
"293","2008","water",89
"294","2008","waterstorm",0
"295","2008","wind",26
"296","2009","cold",89
"297","2009","fire",68
"298","2009","heat",77
"299","2009","land",9
"300","2009","landstorm",425
"301","2009","other",24
"302","2009","tornado",397
"303","2009","visibility",0
"304","2009","water",111
"305","2009","waterstorm",130
"306","2009","wind",24
"307","2010","cold",24
"308","2010","fire",24
"309","2010","heat",139
"310","2010","land",0
"311","2010","landstorm",511
"312","2010","other",45
"313","2010","tornado",699
"314","2010","visibility",0
"315","2010","water",384
"316","2010","waterstorm",0
"317","2010","wind",29
"318","2011","cold",1
"319","2011","fire",116
"320","2011","heat",771
"321","2011","land",0
"322","2011","landstorm",586
"323","2011","other",35
"324","2011","tornado",6163
"325","2011","visibility",0
"326","2011","water",86
"327","2011","waterstorm",0
"328","2011","wind",34
